Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
3678,Male,35-44 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3679,Female,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3680,Male,35-44 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",20-29 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3681,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3682,Female,65 Years and Over,Other Ethnicity,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3683,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$ 5,000 or Less",30-39 Hours,Walked or Jogged,Never Smoked Regularly,Yes,No,MB16
3684,Female,55-64 Years,European,School Qualification,Employed Part-time,"$ 5,001 - $10,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,No,No,MB16
3685,Male,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",30-39 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3686,Female,45-54 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3687,Female,45-54 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3688,Female,15-24 Years,Maori,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,Yes,Yes,MB16
3689,Female,15-24 Years,European,Trade or Vocational,Employed Part-time,"$ 5,000 or Less",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3690,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,No,MB16
3691,Male,55-64 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB16
3692,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3693,Male,45-54 Years,European,No Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3694,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3695,Male,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,No,Yes,MB16
3696,Female,45-54 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB16
3697,Male,55-64 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,No,No,MB16
3698,Male,55-64 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB16
3699,Male,45-54 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB16
3700,Male,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3701,Male,15-24 Years,European,School Qualification,Employed Full-time,"$50,001 or More",1-19 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB16
3702,Female,25-34 Years,European,No Qualification,Employed Part-time,"$ 5,001 - $10,000",1-19 Hours,Walked or Jogged,Regular Smoker,Yes,Yes,MB16
3703,Female,35-44 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3704,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",20-29 Hours,Motor Cycle or Power Cycle,Never Smoked Regularly,Yes,No,MB16
3705,Male,15-24 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3706,Female,35-44 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3707,Male,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3708,Male,55-64 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3709,Male,35-44 Years,Maori,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3710,Female,45-54 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,No,No,MB16
3711,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,No,MB16
3712,Female,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,No,Yes,MB16
3713,Female,45-54 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB16
3714,Female,15-24 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,No,MB16
3715,Female,25-34 Years,Maori,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB16
3716,Male,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB16
3717,Female,35-44 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3718,Female,45-54 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3719,Female,35-44 Years,Maori,School Qualification,Employed Part-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB16
3720,Female,25-34 Years,Maori,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Walked or Jogged,Regular Smoker,Yes,Yes,MB16
3721,Female,55-64 Years,European,School Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,Did Not Travel to Work,Never Smoked Regularly,No,Yes,MB16
3722,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB16
3723,Female,25-34 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB16
3724,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3725,Female,65 Years and Over,Other Ethnicity,School Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3726,Male,25-34 Years,European,Trade or Vocational,Employed Part-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB16
3727,Female,65 Years and Over,Other Ethnicity,School Qualification,Employed Part-time,"$10,001 - $20,000",50 Hours or More,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB16
3728,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB16
3729,Male,35-44 Years,European,No Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3730,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,No,MB16
3731,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3732,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3733,Male,55-64 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB16
3734,Male,35-44 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB16
3735,Female,65 Years and Over,Other Ethnicity,No Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3736,Male,15-24 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3737,Male,45-54 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,No,No,MB16
3738,Male,45-54 Years,European,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3739,Male,35-44 Years,European,Trade or Vocational,Employed Full-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB16
3740,Male,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3741,Female,55-64 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3742,Female,55-64 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3743,Female,45-54 Years,European,School Qualification,Employed Part-time,"$ 5,000 or Less",20-29 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3744,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3745,Female,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,No,Yes,MB16
3746,Female,35-44 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,No,MB16
3747,Female,55-64 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3748,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB16
3749,Female,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB16
3750,Male,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB16
3751,Female,45-54 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3752,Male,25-34 Years,European,No Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB16
3753,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB16
3754,Male,55-64 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB16
3755,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3756,Female,35-44 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,No,No,MB16
3757,Male,25-34 Years,European,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3758,Female,35-44 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB16
3759,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB16
3760,Female,25-34 Years,European,School Qualification,Employed Part-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,No,MB16
3761,Male,45-54 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,Yes,No,MB16
3762,Female,65 Years and Over,Other Ethnicity,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB16
3763,Male,15-24 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB16
3764,Male,55-64 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",1-19 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,No,MB16
3765,Female,65 Years and Over,Other Ethnicity,No Qualification,Employed Part-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB16
3766,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB16
3767,Female,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3768,Female,35-44 Years,European,No Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3769,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB16
3770,Female,35-44 Years,European,Trade or Vocational,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB16
3771,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB16
3772,Male,25-34 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3773,Female,35-44 Years,European,University Degree or Higher,Employed Part-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3774,Male,25-34 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB16
3775,Female,65 Years and Over,Other Ethnicity,School Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB16
3776,Female,35-44 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",20-29 Hours,Walked or Jogged,Regular Smoker,Yes,Yes,MB16
3777,Male,15-24 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,Walked or Jogged,Ex-Smoker,No,No,MB16
3778,Male,25-34 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3779,Female,35-44 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB16
3780,Female,35-44 Years,Maori,School Qualification,Employed Part-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,No,MB16
3781,Male,35-44 Years,European,No Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,No,MB16
3782,Female,45-54 Years,Maori,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB16
3783,Female,25-34 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",20-29 Hours,Did Not Travel to Work,Regular Smoker,Yes,No,MB16
3784,Female,25-34 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3785,Female,35-44 Years,European,School Qualification,Employed Part-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB16
3786,Male,25-34 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3787,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB16
3788,Female,45-54 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB16
3789,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB16
3790,Female,35-44 Years,European,School Qualification,Employed Part-time,"$ 5,001 - $10,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB16
3791,Female,65 Years and Over,Other Ethnicity,Trade or Vocational,Employed Full-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB16
3792,Male,35-44 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB16
3793,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB16
3794,Male,35-44 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB16
